iter	MAE
0	599.7857679
1	557.5900356
2	516.0653437
3	481.4556368
4	445.8339368
5	417.6854405
6	392.7453615
7	374.6248969
8	354.7128337
9	338.2945254
10	321.1138152
11	307.3355575
12	297.9465326
13	288.4452257
14	279.1743411
15	270.6366779
16	263.1561687
17	258.4809351
18	253.1434659
19	247.7260021
20	243.8834605
21	240.5136775
22	237.3179288
23	234.1948698
24	231.5308613
25	230.4214936
26	227.6787348
27	225.3984688
28	225.2659261
29	225.0705863
30	223.2881564
31	222.4728109
32	220.6333034
33	219.3795678
34	218.5118205
35	218.193838
36	217.4382348
37	217.348179
38	216.7464798
39	216.3968776
40	215.8608853
41	215.3767294
42	215.2841535
43	215.281221
44	213.8862566
45	213.604406
46	213.5405183
47	213.0829118
48	213.0564906
49	212.9776392
50	212.1901375
51	212.129346
52	211.5529148
53	211.1959731
54	211.1557963
55	211.0275257
56	211.0001699
57	210.9910553
58	210.5790164
59	210.2900966
60	210.2396417
61	210.0196622
62	209.5601034
63	209.5497933
64	209.5465102
65	209.5341126
66	208.9957389
67	208.7907442
68	208.7866935
69	208.1353311
70	207.9284637
71	207.0759325
72	206.847961
73	206.8401606
74	206.8375523
75	206.817238
76	206.7413376
77	206.696476
78	206.6918312
79	206.6551495
80	206.6495111
81	206.6002625
82	206.5907291
83	206.4105431
84	206.3433705
85	206.3396128
86	206.275429
87	206.2472869
88	206.2147778
89	206.075125
90	206.0751025
91	206.0366943
92	205.7736144
93	205.587012
94	205.5772389
95	205.5626544
96	205.5583199
97	205.4890272
98	205.2535056
99	205.2481117
100	205.2243244
101	205.2077563
102	205.152043
103	204.7452791
104	204.6812295
105	204.6534943
106	204.6493307
107	204.5922611
108	204.462613
109	204.2978914
110	203.9376827
111	203.8218005
112	203.7598426
113	203.5395992
114	203.4924769
115	203.4889226
116	203.1992666
117	202.823484
118	202.6554243
119	202.5973229
120	202.4991738
121	201.8920323
122	201.3183092
123	201.2562123
124	200.7715199
125	200.6375523
126	200.5277272
127	200.4562242
128	200.2622361
129	200.1058429
130	200.0227768
131	199.744765
132	199.6185893
133	199.6098625
134	199.2301624
135	198.8522627
136	198.7975349
137	198.6293259
138	198.2788641
139	197.8713507
140	197.8219044
141	197.5749817
142	197.5302581
143	197.4509219
144	197.4373389
145	197.2405785
146	197.0752033
147	196.9365409
148	196.8229213
149	196.7744612
150	196.6508146
151	196.6358751
152	196.6083908
153	196.5575741
154	196.5342559
155	196.5162026
156	196.4897085
157	196.4585429
158	196.4452261
159	196.4076112
160	196.3218982
161	196.2677872
162	196.2278935
163	195.6567467
164	195.4947262
165	195.2438599
166	195.169895
167	194.7482744
168	194.6173661
169	194.446624
170	194.0038533
171	193.7446728
172	193.5045893
173	193.4547641
174	193.3320854
175	193.2083338
176	192.6887783
177	192.4163894
178	192.0178228
179	191.9470631
180	191.9205032
181	191.432434
182	191.3048985
183	191.1976743
184	190.9961077
185	190.6530833
186	190.3449926
187	190.0482217
188	189.8480572
189	189.5880921
190	189.5479667
191	189.202271
192	188.8245136
193	188.5950749
194	188.2782158
195	188.1015312
196	187.9292439
197	187.6412768
198	187.5986902
199	187.3663325
200	187.3264965
201	187.0560547
202	186.7470421
203	186.5136802
204	186.4577975
205	186.3517675
206	185.9917369
207	185.9790788
208	185.9618096
209	185.9490865
210	185.93742
211	185.9257839
212	185.9180693
213	185.8768312
214	185.8029512
215	185.6973494
216	185.4217889
217	185.385091
218	185.3216204
219	185.0176165
220	184.9509634
221	184.9278776
222	184.8483769
223	184.5283195
224	184.4673299
225	184.4525127
226	184.4268067
227	184.0727328
228	184.0423015
229	183.7744258
230	183.659526
231	183.4991076
232	183.4259392
233	183.315279
234	183.2507197
235	183.0603343
236	182.7104986
237	182.5923237
238	182.3378702
239	182.2879676
240	182.193665
241	181.9797744
242	181.8245347
243	181.5703945
244	181.3735141
245	181.2625748
246	181.2170919
247	181.0191978
248	180.9855437
249	180.952268
250	180.8721378
251	180.7273425
252	180.6903679
253	180.6434072
254	180.6280618
255	180.6135237
256	180.607192
257	180.4541915
258	180.2767476
259	180.1363225
260	180.0380625
261	180.0314317
262	180.0238387
263	179.9196152
264	179.8950318
265	179.8287922
266	179.8182488
267	179.639003
268	179.5798381
269	179.560837
270	179.4933482
271	179.2501317
272	179.1195413
273	179.0093119
274	178.959638
275	178.8499857
276	178.7913316
277	178.771402
278	178.7640479
279	178.7306877
280	178.5344659
281	178.4987329
282	178.3917094
283	178.3528804
284	178.2546634
285	178.1534489
286	178.1049486
287	178.0944733
288	178.0433034
289	178.0020402
290	177.9799139
291	177.975701
292	177.9319425
293	177.9225869
294	177.6801784
295	177.6349756
296	177.5829626
297	177.5727606
298	177.5384131
299	177.2583222
300	177.1424561
301	177.1034739
302	177.049719
303	176.9817976
304	176.9294029
305	176.9110936
306	176.85073
307	176.8402057
308	176.8135488
309	176.7925238
310	176.6837415
311	176.6761833
312	176.6265725
313	176.585248
314	176.5219386
315	176.5079467
316	176.4276424
317	176.3368799
318	176.2257073
319	176.2187694
320	176.1993022
321	176.1675107
322	176.1389326
323	176.1302965
324	176.1215152
325	176.0174034
326	175.9152162
327	175.7333664
328	175.674812
329	175.5999879
330	175.4492321
331	175.3371384
332	175.3315476
333	175.2959958
334	175.2669607
335	175.257611
336	175.2464806
337	175.2430249
338	175.2405373
339	174.9398082
340	174.8265211
341	174.8084223
342	174.7923021
343	174.7922573
344	174.6005762
345	174.5770123
346	174.4899261
347	174.3918424
348	174.3556011
349	174.3300928
350	174.3268028
351	174.2907703
352	174.2603447
353	174.1843082
354	174.1357921
355	174.1028505
356	174.1009912
357	174.0576738
358	174.0225011
359	174.0036862
360	173.9891245
