iter	Passed	Remaining
421	2202	3017
422	2207	3011
423	2212	3005
424	2216	2999
425	2221	2992
426	2225	2986
427	2230	2980
428	2234	2974
429	2239	2968
430	2245	2964
431	2249	2958
432	2254	2952
433	2259	2947
434	2264	2940
435	2268	2934
436	2273	2929
437	2278	2923
438	2283	2917
439	2292	2917
440	2300	2916
441	2312	2918
442	2318	2914
443	2323	2909
444	2329	2905
445	2334	2899
446	2340	2895
447	2346	2891
448	2352	2886
449	2357	2881
450	2363	2876
451	2368	2871
452	2374	2866
453	2378	2860
454	2383	2855
455	2388	2849
456	2393	2844
457	2398	2838
458	2403	2832
459	2407	2826
460	2412	2821
461	2417	2815
462	2422	2809
463	2428	2804
464	2433	2799
465	2438	2794
466	2443	2788
467	2447	2782
468	2452	2776
469	2457	2771
470	2462	2765
471	2467	2759
472	2472	2754
473	2476	2748
474	2481	2742
475	2485	2736
476	2490	2730
477	2494	2724
478	2499	2718
479	2504	2713
480	2509	2707
481	2513	2701
482	2518	2695
483	2523	2690
484	2528	2685
485	2533	2679
486	2538	2674
487	2543	2668
488	2547	2662
489	2552	2657
490	2557	2651
491	2562	2645
492	2567	2639
493	2572	2634
494	2576	2628
495	2581	2622
496	2586	2617
497	2590	2611
498	2595	2606
499	2600	2600
500	2605	2594
501	2609	2588
502	2614	2583
503	2619	2578
504	2624	2572
505	2629	2566
506	2634	2561
507	2638	2555
508	2643	2550
509	2648	2544
510	2653	2538
511	2657	2532
512	2661	2527
513	2666	2521
514	2672	2516
515	2677	2511
516	2681	2505
517	2686	2500
518	2691	2494
519	2695	2488
520	2701	2483
521	2705	2477
522	2710	2472
523	2715	2466
524	2719	2460
525	2724	2455
526	2729	2449
527	2734	2444
528	2738	2438
529	2743	2432
530	2747	2426
531	2752	2421
532	2756	2415
533	2761	2409
534	2767	2405
535	2772	2399
536	2776	2394
537	2781	2388
538	2786	2383
539	2791	2377
540	2795	2372
541	2801	2367
542	2805	2361
543	2810	2355
544	2815	2350
545	2820	2344
546	2824	2339
547	2829	2333
548	2834	2328
549	2838	2322
